reference,inference
"MATCH (m:Movie)-[r:HAS_KEYWORD]->(k:Keyword) RETURN m.title AS movie, count(r) AS num_keywords ORDER BY num_keywords DESC LIMIT 10","```cypher
MATCH (m:Movie)-[:HAS_KEYWORD]->(k:Keyword)
RETURN m.title AS MovieTitle, count(k) AS NumberOfKeywords
ORDER BY NumberOfKeywords DESC
LIMIT 10
```"
"MATCH (m:Movie) MATCH (m)-[:ORIGINAL_LANGUAGE]->(l:Language) WITH l, count(m) AS movieCount ORDER BY movieCount DESC RETURN l.name AS language, movieCount LIMIT 1","```cypher
MATCH (m:Movie)-[:ORIGINAL_LANGUAGE]->(l:Language)
RETURN l.name, count(m) AS count
ORDER BY count DESC
LIMIT 1
```"
MATCH (n:Author) WHERE n.last_name = 'Neeman' OR n.first_name IS NOT NULL RETURN DISTINCT n.first_name AS first_name,"```cypher
MATCH (a:Author)
WHERE a.last_name = 'Neeman' OR a.first_name IS NOT NULL
RETURN DISTINCT a.first_name
```"
MATCH (a:Categories{category_id:'4b7053a7def1fb0250a0e83ebd2f9a7b'})-[*3]->(n) RETURN labels(n) AS FarNodes,"<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
Categories {category_id: STRING}
question:List nodes that are 3 hops away from Categories for which category_id=4b7053a7def1fb0250a0e83ebd2f9a7b!<end_of_turn>
<start_of_turn>model
```cypher
MATCH (c:Categories {category_id: ""4b7053a7def1fb0250a0e83ebd2f9a7b""})-[*1..3]-(n)
RETURN n
```

**Explanation:**

*   `MATCH (c:Categories {category_id: ""4b7053a7def1fb0250a0e83ebd2f9a7b""})`:  This part finds the node labeled `Categories` with the `category_id` property equal to `""4b7053a7def1fb0250a0e83ebd2f9a7b""`.  This is our starting point, `c`.
*   `-[*1..3]-`: This is the core of the query. It specifies a path traversal. `[*1..3]` means traverse from the starting node `c` to any node `n` within a path of length 1 to 3 hops.  Each `-` represents a hop.
*   `RETURN n`:  This returns the nodes `n` that are found within the specified path lengths."
MATCH (n:Article) -[:PUBLISHED_IN{pages: '521-554'}]->(m:Journal) WHERE m.abstract < date('2020-12-31') RETURN avg(m.name) AS avg_name,"```cypher
MATCH (a:Article)-[:PUBLISHED_IN]->(j:Journal)
WHERE j.name IS NOT NULL AND
      j.pages >= '521' AND j.pages <= '554' AND
      a.abstractDate < '2021-01-01'
RETURN avg(j.name) AS AverageJournalName
```"
"MATCH (p:Person)-[:PRODUCED]->(m:Movie) WHERE m.tagline IS NOT NULL WITH p, count(DISTINCT m.tagline) AS distinctTaglines ORDER BY distinctTaglines DESC LIMIT 3 RETURN p.name, distinctTaglines","```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)
RETURN p.name AS Producer, count(m) AS NumberOfMovies
ORDER BY NumberOfMovies DESC
LIMIT 3
GROUP BY Producer
```"
MATCH (n:Keyword) WHERE n.key_id =~'a8.*' RETURN n,"```cypher
MATCH (k:Keyword)
WHERE k.key_id endsWith ""a8!""
RETURN k
```"
MATCH (e:Editor) WHERE NOT (:Journal)-[:EDited_BY]->(e) RETURN e.Name,"```cypher
MATCH (e:Editor)
WHERE NOT e.id IN (
    MATCH (j:Journal)
    RETURN j.Editor_ID)
RETURN e.Name
```"
"MATCH (T1:RepairAssignment)-[:ASSIGNED_TO]->(T3:Technician), (T1)-[:ASSIGNED_TO]->(T2:Machine) RETURN T3.Name ORDER BY T2.quality_rank","```cypher
MATCH (t:Technician)-[:ASSIGNED_TO]->(ra:RepairAssignment)-[:ASSIGNED_TO]->(m:Machine)
RETURN t.Name
ORDER BY m.quality_rank ASC
```"
MATCH (n:Topic) WHERE n.description IS NULL RETURN n LIMIT 8,"```cypher
MATCH (t:Topic)
WHERE t.description IS NULL
RETURN t
LIMIT 8
```"
MATCH (q:Question) WHERE q.createdAt = datetime('2020-06-05T21:49:16Z') RETURN q,"```cypher
MATCH (q:Question)
WHERE q.createdAt = '2020-06-05T21:49:16Z'
RETURN q
```"
MATCH (m:Movie) RETURN m,"```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.budget > 100000000
RETURN p.name
```"
"MATCH (r:Review) WITH r ORDER BY r.stars DESC, r.date ASC LIMIT 3 RETURN r.reviewId, r.text, r.stars, r.date","```cypher
MATCH (b:Business)-[:REVIEWS]->(r:Review)
RETURN r
ORDER BY r.stars DESC
LIMIT 3
```"
"MATCH (e:Entity) WHERE e.jurisdiction = 'SAM' AND e.struck_off_date CONTAINS '2013' RETURN e.name AS entity_name, e.struck_off_date AS struck_off_date","```cypher
MATCH (e:Entity {jurisdiction: ""Samoa""})
WHERE e.struck_off_date IS NOT NULL AND e.struck_off_date < ""2014-01-01""
RETURN e
```"
MATCH (u:User {name: 'Will'})-[:WROTE]->(r:Review)-[:REVIEWS]->(b:Business)-[:IN_CATEGORY]->(c:Category) RETURN DISTINCT c.name AS categories,"```cypher
MATCH (user:User {name: ""Will""})-[:WROTE]->(review:Review)<-[:REVIEWS]-(business:Business)
RETURN business.name AS BusinessName
OPTIONAL MATCH (review:Review)-[:IN_CATEGORY]->(category:Category)
RETURN category.name AS Category
```"
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(p) RETURN m.title LIMIT 3,"```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)-[:DIRECTED]->(d:Director)
RETURN m
ORDER BY m.title ASC
LIMIT 3
```"
MATCH p=(a:Article{article_id:'1048'})-[*]->(d:Keyword{name:'tree (optimality criteria: minimum mean-squared error)  alternative keyword suggestions: - multiscale superpopulation models - independent innovations trees - water-'}) RETURN count(p),"<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
Article {article_id: INTEGER}
Keyword {name: STRING}
question:How many paths are there between Article where article_id is 1048 and Keyword, for which name equals tree (optimality criteria: minimum mean-squared error)

alternative keyword suggestions:
- multiscale superpopulation models
- independent innovations trees
- water-?<end_of_turn>
<start_of_turn>model
```cypher
MATCH (a:Article {article_id: 1048})-[r]->(k:Keyword {name: ""tree""})
RETURN COUNT(r) AS path_count
```

**Explanation:**

*   **`MATCH (a:Article {article_id: 1048})-[r]->(k:Keyword {name: ""tree""})`**: This part of the query finds all paths between an `Article` node with `article_id` equal to 1048 and a `Keyword` node where the `name` property is ""tree"".
    *   `(a:Article {article_id: 1048})`:  This matches a node labeled `Article` with the `article_id` property set to 1048.
    *   `-[r]->`: This represents a relationship between the `Article` and `Keyword` nodes. The `r` is a variable representing the relationship itself.
    *   `(k:Keyword {name: ""tree""})`: This matches a node labeled `Keyword` with the `name` property set to ""tree"".
*   **`RETURN COUNT(r) AS path_"
MATCH (a:Article)-[:MENTIONS]->(o:Organization) WHERE a.sentiment < 0 AND exists {   (a)-[:HAS_CHUNK]->(c:Chunk)   WHERE c.text CONTAINS 'revenue decrease' OR c.text CONTAINS 'revenue declined' } RETURN DISTINCT o.name AS organization,"```cypher
MATCH (o:Organization)-[:MENTIONS]->(a:Article)
WITH o, a
OPTIONAL MATCH (o)-[:HAS_CATEGORY]->(ic:IndustryCategory)
WITH o, a, ic
WHERE a.sentiment < 0 // Assuming negative sentiment indicates a decrease
RETURN o.name AS Organization, a.title AS ArticleTitle, ic.name AS IndustryCategory
```"
"MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity)-[:COUNTRY]->(c:Country) WITH c.name AS country, COUNT(DISTINCT e.id) AS originator_count ORDER BY originator_count DESC LIMIT 3 RETURN country, originator_count","```cypher
MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity)
WITH e.country, count(e) AS originator_count
ORDER BY originator_count DESC
LIMIT 3
RETURN e.country, originator_count
```"
MATCH (q:Question)-[:TAGGED]->(t:Tag {name: 'graphql'}) WHERE q.createdAt >= datetime('2020-06-05T00:00:00Z') RETURN count(q) AS NumberOfQuestions,"```cypher
MATCH (q:Question)-[:TAGGED]->(t:Tag)
WHERE t.name = 'graphql' AND q.createdAt >= date('2020-06-05')
RETURN count(q)
```"
MATCH (e:Entity)-[:registered_address]->(a:Address) WHERE a.countries = 'Hong Kong' RETURN e LIMIT 5,"```cypher
MATCH (e:Entity)-[:registered_address]->(a:Address)
WHERE a.countries = 'Hong Kong'
RETURN e.name AS Entity, a.address AS Address
LIMIT 5
```"
MATCH (e:Entity)-[:COUNTRY]->(c:Country) WHERE c.code = 'CHN' WITH e MATCH (e)-[:FILED]->(f:Filing) RETURN avg(f.amount),"```cypher
MATCH (e:Entity {country: 'CHN'})-[:FILED]->(f:Filing)
RETURN avg(f.amount)
```"
"MATCH (a:Article{comments:'19 pages, AMSLatex, references added'})-[*]->(n) RETURN DISTINCT properties(n) AS Properties","<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
Article {comments: STRING}
question:Enumerate the properties of nodes that are either directly or indirectly connected to Article for which comments is 19 pages, AMSLatex, references added!<end_of_turn>
<start_of_turn>model
```cypher
MATCH (n)-[r]->(a:Article)
WHERE a.comments = ""19 pages, AMSLaTeX, references added""
RETURN n, r, a
```

**Explanation:**

*   **`MATCH (n)-[r]->(a:Article)`**: This part of the query matches nodes (`n`) and relationships (`r`) that point to an `Article` node (`a`). The `->` indicates an outgoing relationship.
*   **`WHERE a.comments = ""19 pages, AMSLaTeX, references added""`**:  This filters the results to only include articles where the `comments` property is exactly equal to the specified string.
*   **`RETURN n, r, a`**: This returns the nodes (`n`), relationships (`r`), and the article node (`a`) that satisfy the criteria.  This provides all the information related to the matching nodes.

**Important Considerations:**

*   **String Comparison:**  The query uses exact string matching (`=`). If the string ""19 pages, AMSLaTeX, references added"" might appear in different formats (e.g., with extra spaces, case variations), you might need to adjust the `WHERE` clause for"
"MATCH (a:Report{report_id:'dd0a54fea06e7b7a384741aac9313d65'})-[r]->() RETURN COUNT(DISTINCT TYPE(r)) AS rels, TYPE(r)","```cypher
MATCH (r:Report)-[e]->()
WHERE r.report_id = 'dd0a54fea06e7b7a384741aac9313d65'
RETURN count(DISTINCT e)
```"
MATCH (b:Business)-[:IN_CATEGORY]->(c:Category) WHERE b.city = 'San Mateo' AND c.name = 'Coffee' RETURN b.name,"```cypher
MATCH (b:Business)
WHERE b.city = 'San Mateo' AND b.-[:IN_CATEGORY]->(c:Category)
WHERE c.name = 'Coffee'
RETURN b.name
```"
MATCH (q:Question {answered: true}) RETURN q ORDER BY q.createdAt LIMIT 3,"```cypher
MATCH (u:User)-[:ASKED]->(q:Question {answered: true})
RETURN q
ORDER BY q.createdAt
LIMIT 3
```"
MATCH (u:User) WHERE u.size < 2.0 RETURN u ORDER BY u.size DESC LIMIT 5,"```cypher
MATCH (u:User)
WHERE u.size < 2.0
ORDER BY u.size DESC
LIMIT 5
RETURN u
```"
"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)-[:MENTIONS]->(mentioned:User) RETURN mentioned.screen_name, count(t) AS mentions_count ORDER BY mentions_count DESC","```cypher
MATCH (u:User {screen_name: ""neo4j""})-[:POSTS]->(t:Tweet)-[:MENTIONS]->(otherUser:User)
RETURN otherUser
ORDER BY COUNT(t) DESC
LIMIT 10
```"
MATCH (o:Organization)<-[:MENTIONS]-(a:Article) WHERE o.name CONTAINS 'Accenture' WITH avg(a.sentiment) AS averageSentiment RETURN averageSentiment,"```cypher
MATCH (o:Organization {name: ""Accenture""})<-[:MENTIONS]-(a:Article)
RETURN a.sentiment
```"
"MATCH (c1:Character)-[i:INTERACTS45]->(c2:Character) WHERE i.weight > 50 RETURN c1.name AS character1, c2.name AS character2, i.weight AS weight","```cypher
MATCH (c1:Character)-[:INTERACTS45]->(c2:Character)
WHERE c2.weight > 50
RETURN c2
```"
"MATCH (u:User {name: ""Omar Huffman""})-[:RATED]->(m:Movie) WITH u,  substring(m.released, 1, 4) AS userBirthYear MATCH (movie:Movie) WHERE substring(movie.released, 1, 4) = userBirthYear RETURN DISTINCT movie.title","```cypher
MATCH (user:User {userId: ""1""})
WITH user
MATCH (movie:Movie)
WHERE movie.year = (year(user.born))
RETURN movie
```"
MATCH (d:Director)-[:DIRECTED]->(m:Movie) WHERE m.imdbRating >= 9 RETURN DISTINCT d.name LIMIT 5,"```cypher
MATCH (director:Director)-[:DIRECTED]->(movie:Movie)
WHERE movie.imdbRating >= 9
RETURN director.name
ORDER BY director.name
LIMIT 5
```"
MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WHERE p.name = 'Keanu Reeves' AND m.title = 'The Matrix' RETURN r.roles AS roles,"```cypher
MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m:Movie {title: ""The Matrix""})
RETURN p.name AS Actor, m.title AS Movie, p.roles
```"
MATCH (a:Article{title:'Notes for a Quantum Index Theorem'})-[:PUBLISHED_IN]->(c:Journal)-[r]->(n) RETURN n,"```cypher
MATCH (a:Article)-[:PUBLISHED_IN]->(j:Journal)
WHERE a.title = 'Notes for a Quantum Index Theorem'
RETURN j
```"
MATCH (n:Author) WHERE n.author_id IS NULL RETURN count(n),"```cypher
MATCH (author:Author)
WHERE author.author_id IS NULL
RETURN COUNT(author)
```"
"MATCH (a:Article{comments:'Published by Geometry and Topology at   http://www.maths.warwick.ac.uk/gt/GTVol4/paper14.abs.html'})-[r]->() RETURN TYPE(r) AS Relations, COUNT(r) AS Counts","<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
Article {comments: STRING}
question:List the types of relationships and their counts connected to Article for which comments is Published by Geometry and Topology at
  http://www.maths.warwick.ac.uk/gt/GTVol4/paper14.abs.html!<end_of_turn>
<start_of_turn>model
```cypher
MATCH (a:Article)-[r]->(n)
WHERE a.comments CONTAINS ""Published by Geometry and Topology""
RETURN DISTINCT type(r) AS RelationshipType, count(r) AS RelationshipCount
ORDER BY RelationshipCount DESC
```

**Explanation:**

1. **`MATCH (a:Article)-[r]->(n)`**: This matches all articles (`a:Article`) and their relationships (`r`) to any node (`n`).  The `->` indicates a directed relationship.
2. **`WHERE a.comments CONTAINS ""Published by Geometry and Topology""`**: This filters the results to only include relationships where the article's `comments` property contains the specified text.  This is how we identify the relevant relationships based on the provided context.
3. **`RETURN DISTINCT type(r) AS RelationshipType, count(r) AS RelationshipCount`**:  This returns two things:
   - `type(r)`: This gets the type of the relationship (e.g., `CONNECTED_TO`, `REFERENCES`, `HAS`).
   - `count(r)`: This counts how many times each relationship type appears.
4. **`ORDER BY RelationshipCount DESC"
"MATCH (d:Director)-[:DIRECTED]->(m:Movie) WITH d, collect(DISTINCT m.languages) AS languages WHERE size(languages) > 1 RETURN d.name, languages ORDER BY size(languages) DESC LIMIT 3","```cypher
MATCH (director:Director)-[:DIRECTED]->(movie:Movie)
WITH director, count(distinct movie.languages) AS numLanguages
WHERE numLanguages > 1
RETURN director.name AS DirectorName, numLanguages AS NumberOfLanguages
ORDER BY NumberOfLanguages DESC
LIMIT 3
```"
MATCH (a:Article{title:'Classification of Subsystems for Local Nets with Trivial Superselection   Structure'})-[r:PUBLISHED_IN {pages :'89-106'}]->(b:Journal) WHERE ANY(key IN keys(a) WHERE a[key] = b[key]) RETURN b,"```cypher
MATCH (a:Article)-[r:PUBLISHED_IN]->(j:Journal)
WHERE a.title = 'Classification of Subsystems for Local Nets with Trivial Superselection'
  AND r.pages = '89-106'
RETURN a
```"
"MATCH (s:Stream)-[:HAS_TEAM]->(t:Team) WHERE t.createdAt < datetime('2015-01-01T00:00:00Z') RETURN s.name AS streamName, s.url AS streamURL ORDER BY t.createdAt LIMIT 3","```cypher
MATCH (t:Team)-[:CREATED_BEFORE]->(s:Stream)
WHERE t.createdAt < ""2015-01-01T00:00:00Z""
RETURN s.name, s.url
LIMIT 3
```"
"MATCH (a:Article{title:'The Gervais-Neveu-Felder equation for the Jordanian quasi-Hopf   U_{h;y}(sl(2)) algebra'})-[r]->(n), (n)-[s]->(m) RETURN labels(n) AS Interim, labels(m) AS Target","<bos><start_of_turn>user
Given the context, generate a Cypher query for the following question
context:Graph schema: Relevant node labels and their properties (with datatypes) are:
Article {title: STRING}
question:Which nodes are connected to Article where title is The Gervais-Neveu-Felder equation for the Jordanian quasi-Hopf
  U_{h;y}(sl(2)) algebra, and also to another node?<end_of_turn>
<start_of_turn>model
```cypher
MATCH (a:Article)-[:CONNECTED_TO]->(other)
WHERE a.title = ""The Gervais-Neveu-Felder equation for the Jordanian quasi-Hopf U_{h;y}(sl(2)) algebra""
  AND EXISTS(other) // Ensure other is another node
RETURN other
```

**Explanation:**

*   **`MATCH (a:Article)-[:CONNECTED_TO]->(other)`**:  This matches a node labeled `Article` (aliased as `a`) and any node (aliased as `other`) connected to it through a relationship labeled `CONNECTED_TO`.  This establishes the 'connected to' relationship.
*   **`WHERE a.title = ""The Gervais-Neveu-Felder equation for the Jordanian quasi-Hopf U_{h;y}(sl(2)) algebra""`**:  This filters the results to only include articles whose title exactly matches the specified title.  This ensures we're focusing on the relevant article.
*   **`AND EXISTS(other)`**:  This is crucial. `EXISTS(other)` checks if `other` is actually a valid node.  This prevents the query from returning potentially null"
MATCH (n:Topic) WHERE n.label <> 'Population Dynamics_0' RETURN DISTINCT n.description AS description,"```cypher
MATCH (t:Topic)
WHERE t.label <> ""Population Dynamics_0""
RETURN DISTINCT t.description
```"
MATCH (p:Person)-[:WROTE]->(m:Movie) WHERE (p)-[:DIRECTED]->(m) RETURN DISTINCT p.name,"```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WITH p, m
MATCH (p2:Person)-[:WROTE]->(m2:Movie)
WHERE m2 = m
RETURN p, p2
```"
"MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE m.votes > 200 WITH p, count(m) AS num_movies ORDER BY num_movies DESC LIMIT 5 RETURN p.name AS director, num_movies","```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes > 200
RETURN p.name AS Director
ORDER BY m.votes DESC
LIMIT 5
```"
"MATCH (a:AllDocument) MATCH (b:RefCalendar) WHERE a.Date_Stored = b.Calendar_Date RETURN a.Date_Stored, b.Day_Number","```cypher
MATCH (d:AllDocument)
RETURN d.Day_Number, d.Date_Stored
```"
"MATCH (f:Filing)-[:BENEFITS|:CONCERNS|:ORIGINATOR]->(e:Entity)-[:COUNTRY]->(c:Country) WHERE f.amount < 500000 WITH c, count(f) AS num_filings ORDER BY num_filings DESC LIMIT 5 RETURN c.name AS country_name, num_filings","```cypher
MATCH (f:Filing)
WHERE f.amount < 500000
WITH f, count(f) AS filingCount
MATCH (e:Entity)-[:BENEFITS]->(f)
WITH f, count(f) AS filingCount
GROUP BY f.Country
ORDER BY filingCount DESC
LIMIT 5
RETURN f.Country, filingCount
```"
MATCH (u:User {name: 'itsbigchase'}) MATCH (s:Stream) WHERE exists{(u)-[:MODERATOR]->(s)} AND exists{(u)-[:CHATTER]->(s)} RETURN s,"```cypher
MATCH (u:User {name: ""itsbigchase""})-[:MODERATOR]->(s:Stream)-[:CHATTER]->(u2:User)
RETURN s
```"
MATCH (n:Article {title: 'On the collision between two PNG droplets'}) -[:HAS_KEY]- (m:Keyword) WHERE m.name STARTS WITH 'k' RETURN m,"```cypher
MATCH (a:Article)-[r:HAS_KEY]->(k:Keyword)
WHERE k.name STARTS WITH 'k'
RETURN k.name AS KeywordName, a.title AS ArticleTitle
```"
MATCH (p:Product) RETURN avg(p.pages_per_minute_color),"```cypher
MATCH (p:Product)
RETURN p.pages_per_minute_color
```"
MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WHERE p.unitsInStock > 80 RETURN s,"```cypher
MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)
WHERE p.unitsInStock > 80
RETURN s.companyName
```"
MATCH (s:Storm) WHERE NOT EXISTS((s)-[:AFFECTS]->(:Region)) RETURN s.Name,"```cypher
MATCH (s:Storm)-[r:AFFECTS]->(r:Region)
WHERE r.Region_id IS NULL  // Assuming Region_id is null for regions not affected
RETURN s.Name
```"
"MATCH (a:Article{abstract:'  Determining contributions by sub-portfolios or single exposures to portfolio-wide economic capital for credit risk is an important risk measurement task. Often economic capital is measured as Value-at-Risk (VaR) of the portfolio loss distribution. For many of the credit portfolio risk models used in practice, the VaR contributions then have to be estimated from Monte Carlo samples. In the context of a partly continuous loss distribution (i.e. continuous except for a positive point mass on zero), we investigate how to combine kernel estimation methods with importance sampling to achieve more efficient (i.e. less volatile) estimation of VaR contributions. '})-[:HAS_CATEGORY]->(c:Categories)-[r]->(n) RETURN n","```cypher
MATCH (a:Article)-[r:HAS_CATEGORY]->(c:Categories)
WHERE a.abstract = ""Determining contributions by sub-portfolios or single exposures to portfolio-wide economic capital for credit risk is an important risk measurement task. Often economic capital is measured as Value-at-Risk (VaR) of the portfolio loss distribution. For many of the credit portfolio risk models used in practice, the VaR contributions then have to be estimated from Monte Carlo samples. In the context of a partly continuous loss distribution (i.e. continuous except for a positive point mass on zero), we investigate how to combine kernel estimation methods with importance sampling to achieve more efficient (i.e. less volatile) estimation of VaR contributions.""
RETURN c
```"
MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity) WHERE f.originator_bank = 'CIMB Bank Berhad' AND f.amount > 500000 RETURN e.name AS originator_entity_name ORDER BY f.begin LIMIT 3,"```cypher
MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity)
WHERE f.originator_bank = 'CIMB Bank Berhad' AND f.amount > 500000
RETURN e
LIMIT 3
```"
"MATCH (a:DOI{doi_id:'6ecd77a291d325cb3e01160880d88c69'}), (b:Journal{journal_id:'79942321e19994e38ad2e372af21c893'}) RETURN EXISTS((a)-[*]-(b)) AS pathExists","```cypher
MATCH (d:DOI {doi_id: ""6ecd77a291d325cb3e01160880d88c69""})-[:REFERENCES]->(j:Journal {journal_id: ""79942321e19994e38ad2e372af21c893""})
RETURN d, j
```"
"MATCH (s:Stream)-[:PLAYS]->(g:Game) WITH g, count(DISTINCT s) AS streamCount WHERE streamCount > 5 RETURN g.name AS Game, streamCount","```cypher
MATCH (s:Stream)-[:PLAYS]->(g:Game)
WITH s, g
MATCH (s)-[:PLAYS]->(otherS:Stream)
WHERE otherS <> s
RETURN g.name, count(distinct s) AS streams_played
ORDER BY streams_played DESC
LIMIT 10
```"
MATCH (p:Product)-[:PART_OF]->(c:Category) WHERE p.unitPrice < 10 RETURN DISTINCT c.categoryName,"```cypher
MATCH (c:Category)-[:PART_OF]->(p:Product)
WHERE p.unitPrice < 10
RETURN c.categoryName
```"
"MATCH (u:User)-[:ASKED]->(q:Question) WHERE u.reputation > 1000 WITH u, COUNT(q) AS question_count ORDER BY question_count DESC LIMIT 1 RETURN u.display_name AS user, u.reputation AS reputation, question_count","```cypher
MATCH (u:User)-[:ASKED]->(q:Question)
WHERE u.reputation > 1000
RETURN u.display_name, count(q) AS num_questions
ORDER BY num_questions DESC
```"
"MATCH (o:Organization)-[:IN_CITY]->(c:City)-[:IN_COUNTRY]->(country:Country) WHERE o.motto IS NOT NULL AND o.motto <> """" RETURN DISTINCT country.name AS Country","```cypher
MATCH (o:Organization {motto: <>})
OPTIONAL MATCH (o)-[:IN_COUNTRY]->(c:Country)
RETURN c.name AS Country
```"
MATCH (u:User)-[:WROTE]->(r:Review)-[:REVIEWS]->(b:Business) WHERE b.address CONTAINS 'Main St' RETURN DISTINCT u.name,"```cypher
MATCH (u:User)-[:WROTE]->(r:Review)
WHERE r:Review -[:REVIEWS]-> (b:Business)
  AND b:Business.address CONTAINS 'Main St'
RETURN DISTINCT u.name AS User
```"
MATCH (org:Organization)-[:IN_CITY]->(city:City) WHERE city.name = 'Rome' WITH sum(org.nbrEmployees) AS totalEmployees RETURN totalEmployees,"```cypher
MATCH (o:Organization {summary: ""Software company based in Rome, Metropolitan City""})
RETURN count(o)
```"
