reference,gemini_inference
MATCH (q:Question)-[:TAGGED]->(t:Tag {name: 'graphql'}) WHERE q.createdAt >= datetime('2020-06-05T00:00:00Z') RETURN count(q) AS NumberOfQuestions,"MATCH (q:Question)-[:TAGGED]->(t:Tag)
WHERE q.createdAt >= date('2020-06-05') AND t.name = 'graphql'
RETURN count(q)"
MATCH (e:Entity)-[:registered_address]->(a:Address) WHERE a.countries = 'Hong Kong' RETURN e LIMIT 5,"MATCH (e:Entity)-[:registered_address]->(a:Address)
WHERE a.countries = 'Hong Kong'
RETURN e
LIMIT 5"
MATCH (e:Entity)-[:COUNTRY]->(c:Country) WHERE c.code = 'CHN' WITH e MATCH (e)-[:FILED]->(f:Filing) RETURN avg(f.amount),"MATCH (e:Entity)-[:FILED]->(f:Filing)
MATCH (e)-[:COUNTRY]->(c:Country)
WHERE c.code = 'CHN'
RETURN avg(f.amount) AS averageAmount"
"MATCH (a:Article{comments:'19 pages, AMSLatex, references added'})-[*]->(n) RETURN DISTINCT properties(n) AS Properties","MATCH (a:Article)
WHERE a.comments = ""19 pages, AMSLatex, references added!""
MATCH (a)-[*]-(targetNode)
UNWIND keys(targetNode) AS propertyKey
RETURN DISTINCT propertyKey"
"MATCH (a:Report{report_id:'dd0a54fea06e7b7a384741aac9313d65'})-[r]->() RETURN COUNT(DISTINCT TYPE(r)) AS rels, TYPE(r)","MATCH (r:Report {report_id: 'dd0a54fea06e7b7a384741aac9313d65'})-[rel]->()
RETURN count(rel) AS unique_relationships_count"
MATCH (b:Business)-[:IN_CATEGORY]->(c:Category) WHERE b.city = 'San Mateo' AND c.name = 'Coffee' RETURN b.name,"MATCH (b:Business)-[:IN_CATEGORY]->(c:Category)
WHERE b.city = 'San Mateo' AND c.name = 'Coffee'
RETURN b.name"
MATCH (q:Question {answered: true}) RETURN q ORDER BY q.createdAt LIMIT 3,"MATCH (q:Question)
WHERE q.answered = true
RETURN q
LIMIT 3"
MATCH (u:User) WHERE u.size < 2.0 RETURN u ORDER BY u.size DESC LIMIT 5,"MATCH (u:User)
WHERE u.size < 2.0
RETURN u.label AS userLabel, u.size AS userSize
ORDER BY u.size DESC
LIMIT 5"
"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)-[:MENTIONS]->(mentioned:User) RETURN mentioned.screen_name, count(t) AS mentions_count ORDER BY mentions_count DESC","MATCH (me:Me {screen_name: 'neo4j'})-[:POSTS]->(tweet:Tweet)-[:MENTIONS]->(user:User)
RETURN user.screen_name, COUNT(user) AS mentionCount
ORDER BY mentionCount DESC"
MATCH (o:Organization)<-[:MENTIONS]-(a:Article) WHERE o.name CONTAINS 'Accenture' WITH avg(a.sentiment) AS averageSentiment RETURN averageSentiment,"MATCH (org:Organization)
WHERE org.name CONTAINS ""Accenture""
MATCH (article:Article)-[:MENTIONS]->(org)
RETURN avg(article.sentiment) AS averageSentimentScore"
"MATCH (c1:Character)-[i:INTERACTS45]->(c2:Character) WHERE i.weight > 50 RETURN c1.name AS character1, c2.name AS character2, i.weight AS weight","MATCH (c:Character)-[r:INTERACTS45]->()
WHERE r.weight > 50
RETURN DISTINCT c"
"MATCH (u:User {name: ""Omar Huffman""})-[:RATED]->(m:Movie) WITH u,  substring(m.released, 1, 4) AS userBirthYear MATCH (movie:Movie) WHERE substring(movie.released, 1, 4) = userBirthYear RETURN DISTINCT movie.title","MATCH (u:User {name: ""Omar Huffman""})
WITH u
MATCH (m:Movie)
WHERE m.year = toInteger(split(u.name, ' ')[1])
RETURN m.title, m.year"
MATCH (d:Director)-[:DIRECTED]->(m:Movie) WHERE m.imdbRating >= 9 RETURN DISTINCT d.name LIMIT 5,"MATCH (d:Director)-[:DIRECTED]->(m:Movie)
WHERE m.imdbRating >= 9
RETURN d.name
LIMIT 5"
MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WHERE p.name = 'Keanu Reeves' AND m.title = 'The Matrix' RETURN r.roles AS roles,"MATCH (p:Person)-[r:ACTED_IN]->(m:Movie)
WHERE p.name = 'Keanu Reeves' AND m.title = 'The Matrix'
RETURN r.roles"
MATCH (a:Article{title:'Notes for a Quantum Index Theorem'})-[:PUBLISHED_IN]->(c:Journal)-[r]->(n) RETURN n,"MATCH (a:Article)-[:PUBLISHED_IN]->(j:Journal)
WHERE a.title = ""Notes for a Quantum Index Theorem""
RETURN j"
MATCH (n:Author) WHERE n.author_id IS NULL RETURN count(n),"MATCH (a:Author)
WHERE NOT EXISTS(a.author_id)
RETURN count(a) AS missing_author_id_count"
"MATCH (a:Article{comments:'Published by Geometry and Topology at   http://www.maths.warwick.ac.uk/gt/GTVol4/paper14.abs.html'})-[r]->() RETURN TYPE(r) AS Relations, COUNT(r) AS Counts","MATCH (a:Article)
WHERE a.comments = ""Published by Geometry and Topology at\n  http://www.maths.warwick.ac.uk/gt/GTVol4/paper14.abs.html!""
MATCH (a)-[r]-()
RETURN type(r) AS relationshipType, count(r) AS count"
"MATCH (d:Director)-[:DIRECTED]->(m:Movie) WITH d, collect(DISTINCT m.languages) AS languages WHERE size(languages) > 1 RETURN d.name, languages ORDER BY size(languages) DESC LIMIT 3","MATCH (d:Director)-[:DIRECTED]->(m:Movie)
WHERE size(m.languages) > 1
RETURN DISTINCT d.name
LIMIT 3"
MATCH (a:Article{title:'Classification of Subsystems for Local Nets with Trivial Superselection   Structure'})-[r:PUBLISHED_IN {pages :'89-106'}]->(b:Journal) WHERE ANY(key IN keys(a) WHERE a[key] = b[key]) RETURN b,"MATCH (article:Article)-[published_in:PUBLISHED_IN]->(journal:Journal)
WHERE article.title = ""Classification of Subsystems for Local Nets with Trivial Superselection Structure""
  AND published_in.pages = ""89-106""
RETURN journal"
"MATCH (s:Stream)-[:HAS_TEAM]->(t:Team) WHERE t.createdAt < datetime('2015-01-01T00:00:00Z') RETURN s.name AS streamName, s.url AS streamURL ORDER BY t.createdAt LIMIT 3","MATCH (s:Stream)-[:HAS_TEAM]->(t:Team)
WHERE t.createdAt < datetime('2015-01-01T00:00:00Z')
RETURN s.name, s.url
LIMIT 3"
"MATCH (a:Article{title:'The Gervais-Neveu-Felder equation for the Jordanian quasi-Hopf   U_{h;y}(sl(2)) algebra'})-[r]->(n), (n)-[s]->(m) RETURN labels(n) AS Interim, labels(m) AS Target","MATCH (a:Article {title: ""The Gervais-Neveu-Felder equation for the Jordanian quasi-Hopf U_{h;y}(sl(2)) algebra""})--(x)
MATCH (x)--(y)
WHERE y <> a
RETURN DISTINCT x"
MATCH (n:Topic) WHERE n.label <> 'Population Dynamics_0' RETURN DISTINCT n.description AS description,"MATCH (t:Topic)
WHERE t.label <> 'Population Dynamics_0'
RETURN DISTINCT t.description"
MATCH (p:Person)-[:WROTE]->(m:Movie) WHERE (p)-[:DIRECTED]->(m) RETURN DISTINCT p.name,"MATCH (p:Person)-[:WROTE]->(m:Movie)
MATCH (p)-[:DIRECTED]->(m)
RETURN p.name"
"MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE m.votes > 200 WITH p, count(m) AS num_movies ORDER BY num_movies DESC LIMIT 5 RETURN p.name AS director, num_movies","MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes > 200
RETURN DISTINCT p.name
LIMIT 5"
"MATCH (a:AllDocument) MATCH (b:RefCalendar) WHERE a.Date_Stored = b.Calendar_Date RETURN a.Date_Stored, b.Day_Number","MATCH (d:AllDocument)-[:ASSOCIATED_WITH]->(c:RefCalendar)
RETURN c.Day_Number, d.Date_Stored"
"MATCH (f:Filing)-[:BENEFITS|:CONCERNS|:ORIGINATOR]->(e:Entity)-[:COUNTRY]->(c:Country) WHERE f.amount < 500000 WITH c, count(f) AS num_filings ORDER BY num_filings DESC LIMIT 5 RETURN c.name AS country_name, num_filings","MATCH (country:Country)<-[:COUNTRY]-(entity:Entity)
MATCH (filing:Filing)
WHERE filing.amount < 500000
AND (
    (filing)-[:BENEFITS]->(entity) OR
    (filing)-[:CONCERNS]->(entity) OR
    (filing)-[:ORIGINATOR]->(entity) OR
    (entity)-[:FILED]->(filing)
)
RETURN country.name AS Country, count(DISTINCT filing) AS NumberOfFilings
ORDER BY NumberOfFilings DESC
LIMIT 5"
MATCH (u:User {name: 'itsbigchase'}) MATCH (s:Stream) WHERE exists{(u)-[:MODERATOR]->(s)} AND exists{(u)-[:CHATTER]->(s)} RETURN s,"MATCH (u:User {name: 'itsbigchase'})-[:MODERATOR]->(s:Stream)
MATCH (u)-[:CHATTER]->(s)
RETURN s"
MATCH (n:Article {title: 'On the collision between two PNG droplets'}) -[:HAS_KEY]- (m:Keyword) WHERE m.name STARTS WITH 'k' RETURN m,"MATCH (a:Article)-[:HAS_KEY]->(k:Keyword)
WHERE a.title = ""On the collision between two PNG droplets!""
  AND k.name STARTS WITH ""k""
RETURN k"
MATCH (p:Product) RETURN avg(p.pages_per_minute_color),"MATCH (p:Product)
RETURN AVG(p.pages_per_minute_color)"
MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WHERE p.unitsInStock > 80 RETURN s,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)
WHERE p.unitsInStock > 80
RETURN DISTINCT s.companyName"
MATCH (s:Storm) WHERE NOT EXISTS((s)-[:AFFECTS]->(:Region)) RETURN s.Name,"MATCH (s:Storm)
WHERE NOT EXISTS((s)-[:AFFECTS]->(:Region))
RETURN s.Name"
"MATCH (a:Article{abstract:'  Determining contributions by sub-portfolios or single exposures to portfolio-wide economic capital for credit risk is an important risk measurement task. Often economic capital is measured as Value-at-Risk (VaR) of the portfolio loss distribution. For many of the credit portfolio risk models used in practice, the VaR contributions then have to be estimated from Monte Carlo samples. In the context of a partly continuous loss distribution (i.e. continuous except for a positive point mass on zero), we investigate how to combine kernel estimation methods with importance sampling to achieve more efficient (i.e. less volatile) estimation of VaR contributions. '})-[:HAS_CATEGORY]->(c:Categories)-[r]->(n) RETURN n","MATCH (a:Article)-[:HAS_CATEGORY]->(c:Categories)
WHERE a.abstract = ""Determining contributions by sub-portfolios or single exposures to\nportfolio-wide economic capital for credit risk is an important risk\nmeasurement task. Often economic capital is measured as Value-at-Risk (VaR) of\nthe portfolio loss distribution. For many of the credit portfolio risk models\nused in practice, the VaR contributions then have to be estimated from Monte\nCarlo samples. In the context of a partly continuous loss distribution (i.e.\ncontinuous except for a positive point mass on zero), we investigate how to\ncombine kernel estimation methods with importance sampling to achieve more\nefficient (i.e. less volatile) estimation of VaR contributions.""
RETURN c"
MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity) WHERE f.originator_bank = 'CIMB Bank Berhad' AND f.amount > 500000 RETURN e.name AS originator_entity_name ORDER BY f.begin LIMIT 3,"MATCH (e:Entity)<-[:ORIGINATOR]-(f:Filing)
WHERE f.originator_bank = 'CIMB Bank Berhad' AND f.amount > 500000
RETURN e
LIMIT 3"
"MATCH (a:DOI{doi_id:'6ecd77a291d325cb3e01160880d88c69'}), (b:Journal{journal_id:'79942321e19994e38ad2e372af21c893'}) RETURN EXISTS((a)-[*]-(b)) AS pathExists","MATCH (d:DOI {doi_id: '6ecd77a291d325cb3e01160880d88c69'})
MATCH (j:Journal {journal_id: '79942321e19994e38ad2e372af21c893'})
RETURN EXISTS((d)-[*]->(j)) AS path_exists"
"MATCH (s:Stream)-[:PLAYS]->(g:Game) WITH g, count(DISTINCT s) AS streamCount WHERE streamCount > 5 RETURN g.name AS Game, streamCount","MATCH (game:Game)<-[:PLAYS]-(stream:Stream)
WITH game, COUNT(DISTINCT stream) AS streamCount
WHERE streamCount > 5
RETURN game.name"
MATCH (p:Product)-[:PART_OF]->(c:Category) WHERE p.unitPrice < 10 RETURN DISTINCT c.categoryName,"MATCH (c:Category)-[:PART_OF]->(p:Product)
WHERE p.unitPrice < 10
RETURN DISTINCT c.categoryName"
"MATCH (u:User)-[:ASKED]->(q:Question) WHERE u.reputation > 1000 WITH u, COUNT(q) AS question_count ORDER BY question_count DESC LIMIT 1 RETURN u.display_name AS user, u.reputation AS reputation, question_count","MATCH (u:User)-[:ASKED]->(q:Question)
WHERE u.reputation > 1000
RETURN u.display_name AS userName, count(q) AS numQuestionsAsked
ORDER BY numQuestionsAsked DESC
LIMIT 1"
"MATCH (o:Organization)-[:IN_CITY]->(c:City)-[:IN_COUNTRY]->(country:Country) WHERE o.motto IS NOT NULL AND o.motto <> """" RETURN DISTINCT country.name AS Country","MATCH (org:Organization)
WHERE EXISTS(org.motto)
MATCH (org)-[:IN_CITY]->(city:City)-[:IN_COUNTRY]->(country:Country)
RETURN DISTINCT country.name AS Country"
MATCH (u:User)-[:WROTE]->(r:Review)-[:REVIEWS]->(b:Business) WHERE b.address CONTAINS 'Main St' RETURN DISTINCT u.name,"MATCH (u:User)-[:WROTE]->(r:Review)-[:REVIEWS]->(b:Business)
WHERE b.address CONTAINS 'Main St'
RETURN DISTINCT u.name"
MATCH (org:Organization)-[:IN_CITY]->(city:City) WHERE city.name = 'Rome' WITH sum(org.nbrEmployees) AS totalEmployees RETURN totalEmployees,"MATCH (c:City {name: ""Rome""})<-[:IN_CITY]-(o:Organization)
RETURN sum(o.nbrEmployees) AS TotalEmployeesInRome"
